storeCode,storeName,address,latitude,longitude,distance,startTime,endTime,openYn,holidayYn,openYmd,salesCloseYmd,searchKeywords,storeImageUrl,smartReturnYn,salesStoreYn,remainQuantity,o2oRemainQuantity,pickupYn,payOperDt,statusCode,promotionYn,newOpenYn,oyHotPlaceYn,popupYn,clickCnt,businessPlaceShapeTypeCode,promotionInfo,couponInfo,skinScanYn,oliveBetterFlag
DA14,대구황금캐슬점,대구광역시 수성구 청수로 202 1층,35.83898240761433,128.62994147889833,241.44,1000,2200,False,False,20161026,,,DA14_1.jpg,True,False,0,0,True,,E,False,False,False,False,6,E1,,,False,False
DDB4,대구수성스퀘어점,대구광역시 수성구 용학로 106-7 수성스퀘어 105호,35.8240968422458,128.618409237623,242.14,1100,2200,False,False,20230414,,,DDB4_1.jpg,True,False,0,0,True,,E,False,False,False,False,22,DA,,,False,False
D366,대구율하점,대구광역시 동구 안심로22길 48,35.8632351,128.6966631,242.98,1000,2200,False,False,20150630,,,D366_1.jpg,True,False,0,0,True,,E,False,False,False,False,9,DA,,,False,False
DA07,대구동호점,대구광역시 동구 금강로 16,35.8663249,128.7243285,244.26,1030,2200,False,False,20160923,,,DA07_1.jpg,True,False,0,0,True,,E,False,False,False,False,21,E1,,,False,False
DA0E,대구시지점,대구광역시 수성구 달구벌대로 3214 (신매동),35.8395548,128.7078791,245.67,1000,2230,False,False,20161007,,,DA0E_1.jpg,True,False,0,0,True,,E,False,False,False,False,25,DA,,,False,False
DB91,대구사월역점,"대구광역시 수성구 달구벌대로 3280 (신매동, 시지 효성 백년가약 1단지)301동 116-1호",35.8367162075946,128.71480304936605,246.3,1030,2200,False,False,20171229,,,DB91_1.jpg,True,False,0,0,True,,E,False,False,False,False,15,E1,,,False,False
D561,울산구영점,울산광역시 울주군 범서읍 구영로 78 서진프라자 108~110호,35.5754404,129.2406253,299.09,1000,2200,False,False,20160824,,,D561_2024113111315511.png,True,False,0,0,True,,E,False,False,False,False,18,DA,,,False,False
DE8D,울산굴화점,울산광역시 울주군 범서읍 울밀로 2856 올리브영 울산굴화점,35.5569625543564,129.26034206181,301.81,1000,2200,False,False,20240514,,,DE8D_1.jpg,True,False,0,0,True,,E,False,False,False,False,15,DA,,,False,False
DBD4,울산옥동점,"울산광역시 남구 문수로 336 1층 (옥동, 251-2)",35.5348193,129.2900567,305.44,1030,2200,False,False,20180525,,,DBD4_1.jpg,True,False,0,0,True,,E,False,False,False,False,22,E1,,,False,False
DA6E,울산대로점,울산광역시 남구 삼산로 136,35.5357872,129.322362,307.31,1000,2230,False,False,20170126,,,DA6E_1.jpg,True,False,0,0,True,,E,False,False,False,False,45,DA,,,False,False
DDE7,울산삼산대로점,울산광역시 남구 삼산로 257 1층,35.5391616359902,129.33508538773,307.81,1030,2230,False,False,20230829,,,DDE7_1.jpg,True,False,0,0,True,,E,False,False,False,False,57,DA,,,False,False
DC9D,울산업스퀘어점,울산광역시 남구 화합로 185 울산업스퀘어 1F 올리브영,35.5413457303704,129.338899684243,307.86,1030,2200,False,False,20200828,,,DC9D_1.jpg,True,False,0,0,True,,E,False,False,False,False,25,DA,,,False,False
DBC1,울산터미널점,"울산광역시 남구 화합로 138 101,102호(삼산동, 1617-14)",35.5372588,129.3405319,308.29,1000,2200,False,False,20180427,,,DBC1_1.jpg,True,False,0,0,True,,E,False,False,False,False,19,DA,,,False,False
D518,부산구서역점,부산광역시 금정구 구서로 3,35.2464563,129.0906713,319.23,1000,2230,False,False,20160531,,,D518_1.jpg,True,False,0,0,True,,E,False,False,False,False,27,DA,,,False,False
DDB3,부산부곡DI점,부산광역시 금정구 중앙대로 1722,35.238085776396,129.092745053639,320.09,1030,2200,False,False,20230309,,,DDB3_1.jpg,True,False,0,0,True,,E,False,False,False,False,18,DA,,,False,False
DE23,부산대점,부산광역시 금정구 부산대학로 47,35.2311618845756,129.086046199536,320.37,1000,2230,False,False,20240109,,,DE23_1.jpg,True,False,0,0,True,,E,False,False,False,False,35,DA,,,False,False
DDB8,부산대역점,"부산광역시 금정구 부산대학로 29 네오스퀘어 1층 102, 103호",35.2307915342883,129.088019769268,320.51,1000,2230,False,False,20230411,,,DDB8_1.jpg,True,False,0,0,True,,E,False,False,False,False,27,DA,,,False,False
D333,부산대장전점,부산광역시 금정구 금정로60번길 29,35.2296972,129.087942,320.6,1000,2230,False,False,20150331,,,D333_1.jpg,True,False,0,0,True,,E,False,False,False,False,27,DA,,,False,False
D566,부산거제점,부산광역시 연제구 아시아드대로 93 1층,35.1929131,129.0665438,322.84,1030,2230,False,False,20160825,,,D566_1.jpg,True,False,0,0,True,,E,False,False,False,False,32,DA,,,False,False
DA8F,연산역점,부산광역시 연제구 중앙대로 1086,35.1845832,129.0808837,324.34,1000,2200,False,False,20170123,,,DA8F_1.jpg,True,False,0,0,True,,E,False,False,False,False,24,E1,,,False,False
DF73,부산연산점,부산광역시 연제구 반송로 22,35.1870884743446,129.083463092538,324.25,1000,2300,True,False,20250711,,,DF73_2025071921441162.png,True,False,0,0,True,,O,False,False,False,False,35,DA,,,False,False
DCF6,부산개금점,부산광역시 부산진구 가야대로 486,35.1527882355747,129.025196780398,324.42,1000,2230,False,False,20211223,,,DCF6_1.jpg,True,False,0,0,True,,E,False,False,False,False,33,DA,,,False,False
D325,부산양정점,부산광역시 부산진구 중앙대로 904 1층,35.1709068,129.0699883,325.03,1000,2230,False,False,20150317,,,D325_1.jpg,True,False,0,0,True,,E,False,False,False,False,21,DA,,,False,False
DDBB,부산일광점,부산광역시 기장군 일광읍 해송1로 4 1층 일부,35.2659350829536,129.229056013481,324.97,1030,2230,False,False,20230818,,,DDBB_1.jpg,True,False,0,0,True,,E,False,False,False,False,21,DA,,,False,False
DA75,서면가야대로점,부산광역시 부산진구 가야대로 775-1,35.1579198,129.0564275,325.53,1000,2230,False,False,20161223,,,DA75_1.jpg,True,False,0,0,True,,E,False,False,False,False,30,DA,,,False,False
BA94,서면역사점,"부산광역시 부산진구 중앙대로 지하 730 2-02호(부전동, 서면역구내)",35.157764059003,129.059035752371,325.68,0900,2300,True,False,20210501,,,BA94_2024102971040111.jpg,True,False,0,0,True,,O,False,False,False,False,51,B1,,,False,False
D398,하단중앙점,부산광역시 사하구 낙동남로 1417,35.1066688,128.9665866,325.81,1000,2230,False,False,20150925,,,D398_1.jpg,True,False,0,0,True,,E,False,False,False,False,31,DA,,,False,False
DAAD,부산아트몰링점,부산광역시 사하구 낙동남로 1413 아트몰링부산점 지하1층,35.1066976,128.9663785,325.8,1000,2100,False,False,20170303,,,DAAD_1.jpg,True,False,0,0,True,,E,False,False,False,False,41,DA,,,False,False
DE4D,올리브영 서면 타운,부산광역시 부산진구 중앙대로 704-1 부전동 165-3 외 3필지,35.1556263856993,129.059551352552,325.9,1000,2300,True,False,20241025,,,DE4D_2024103031314071.png,True,False,0,0,True,,O,False,False,False,False,98,DA,,,True,False
DB90,연산토곡점,부산광역시 연제구 과정로 112,35.1813389,129.107358,326.01,1030,2200,False,False,20180106,,,DB90_1.jpg,True,False,0,0,True,,E,False,False,False,False,15,E1,,,False,False
DC30,서면1번가점,부산광역시 부산진구 신천대로62번길 77 부전동 1층 일부(북측),35.1542224281877,129.0582547715583,325.96,1000,2230,False,False,20190731,,,DC30_2024102971042201.jpg,True,False,0,0,True,,E,False,False,False,False,50,DA,,,False,False
DBA0,서면부전중앙점,부산광역시 부산진구 중앙대로692번길 30 (부전동),35.1543209,129.0609467,326.09,1000,2300,True,False,20180223,,,DBA0_1.jpg,True,False,0,0,True,,O,False,False,False,False,39,DA,,,False,False
DA65,부산기장점,부산광역시 기장군 기장읍 읍내로 111,35.2453007,129.2164737,326.1,1000,2200,False,False,20161126,,,DA65_1.jpg,True,False,0,0,True,,E,False,False,False,False,13,DA,,,False,False
DD44,서면삼정타워점,부산광역시 부산진구 중앙대로 672 삼정타워 1층,35.153006221653,129.059606320437,326.14,1000,2300,True,False,20220810,,,DD44_1.jpg,True,False,0,0,True,,O,False,False,False,False,27,DA,,,True,False
DED4,부산전포역점,부산광역시 부산진구 전포대로199번길 9,35.1543321420614,129.064711263602,326.28,1000,2230,False,False,20250124,,,DED4_202501311036111.png,True,False,0,0,True,,E,False,False,False,False,54,DA,,,True,False
DBE9,부산당리점,부산광역시 사하구 낙동대로 412,35.1039764,128.9732747,326.39,1030,2230,False,False,20180718,,,DBE9_1.jpg,True,False,0,0,True,,E,False,False,False,False,17,E1,,,False,False
DEAB,커넥트현대부산점,부산광역시 동구 범일로 125 커넥트현대부산점,35.1413018869521,129.058573869428,327.17,1030,2030,False,False,20240904,,,DEAB_202501240935311.png,True,False,0,0,False,,E,False,False,False,False,17,DA,,,False,False
DE6A,부산범일점,부산광역시 동구 범일로 102 올리브영,35.1392248304239,129.059695512756,327.42,1030,2200,False,False,20240405,,,DE6A_1.jpg,True,False,0,0,True,,E,False,False,False,False,14,E1,,,False,False
DA81,부산수영점,부산광역시 수영구 수영로 703,35.1680189,129.1162631,327.69,1000,2230,False,False,20170228,,,DA81_1.jpg,True,False,0,0,True,,E,False,False,False,False,33,DA,,,False,False
D361,센텀중앙로점,부산광역시 해운대구 센텀6로 21,35.1736407,129.1291951,327.85,1000,2230,False,False,20150629,,,D361_1.jpg,True,False,0,0,True,,E,False,False,False,False,23,E1,,,False,False
DC02,부산수영로점,"부산광역시 수영구 수영로 631 파스텔라스튜디오 102호, 103호",35.1622062,129.1137286,328.09,1030,2230,False,False,20180914,,,DC02_1.jpg,True,False,0,0,True,,E,False,False,False,False,18,DA,,,False,False
DD65,부산문현점,부산광역시 남구 수영로 31 1층 일부,35.1372580254447,129.071291751568,328.19,1000,2230,False,False,20220921,,,DD65_1.jpg,True,False,0,0,True,,E,False,False,False,False,16,E1,,,False,False
DB87,부산장림점,"부산광역시 사하구 장림번영로 50 (장림동, 지원시티파크 아파트)",35.0803313,128.9708174,328.49,1000,2200,False,False,20171229,,,DB87_1.jpg,True,False,0,0,True,,E,False,False,False,False,11,E1,,,False,False
DCFF,부산광안역점,부산광역시 수영구 수영로 584,35.1577669180554,129.113384011512,328.48,1030,2230,False,False,20211119,,,DCFF_1.jpg,True,False,0,0,True,,E,False,False,False,False,21,DA,,,False,False
DBF8,부산역점,부산광역시 동구 중앙대로 197,35.115109,129.0392144,328.62,1030,2230,False,False,20180831,,,DBF8_1.jpg,True,False,0,0,True,,E,False,False,False,False,29,DA,,,False,False
DAFB,광안비치점,부산광역시 수영구 광안해변로 235 101호,35.154681,129.1196804,329.08,1100,2300,True,False,20170721,,,DAFB_1.jpg,True,False,0,0,True,,O,False,False,False,False,20,DA,,,False,False
DB5D,부산대연역점,부산광역시 남구 수영로 225-1 (대연동),35.1353886,129.091331,329.39,1030,2230,False,False,20171215,,,DB5D_1.jpg,True,False,0,0,True,,E,False,False,False,False,16,DA,,,False,False
D508,광안리점,부산광역시 수영구 광안해변로 153-1,35.1484847,129.1144266,329.38,1100,2300,True,False,20160527,,,D508_1.jpg,True,False,0,0,True,,O,False,False,False,False,39,DA,,,False,False
DA1C,올리브영 광복 타운,부산광역시 중구 비프광장로 36 (1층),35.0986297,129.0287677,329.63,1030,2230,False,False,20161230,,,DA1C_1.jpg,True,False,0,0,True,,E,False,False,False,False,45,DA,,,False,False
DE24,부산자갈치역점,부산광역시 서구 구덕로 102-1 1층,35.0969061398792,129.024387318787,329.57,1000,2200,False,False,20231110,,,DE24_1.jpg,True,False,0,0,True,,E,False,False,False,False,24,E1,,,False,False
B050,경성대부경대점,부산광역시 남구 수영로 312 21세기센츄리시티빌딩 1층,35.137467,129.100933,329.69,1000,2230,False,False,20120127,,,B050_1.jpg,True,False,0,0,True,,E,False,False,False,False,72,B1,,,False,False
DA9F,남천역점,부산광역시 수영구 수영로 384,35.140774,129.106991,329.7,1000,2230,False,False,20170217,,,DA9F_1.jpg,True,False,0,0,True,,E,False,False,False,False,14,E1,,,False,False
DD79,부산부경대점,부산광역시 남구 용소로 12 1층,35.1361836568202,129.100463092582,329.78,1000,2230,False,False,20230203,,,DD79_1.jpg,True,False,0,0,True,,E,False,False,False,False,67,DA,,,False,False
